('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         765336 function calls (741322 primitive calls) in 8.082 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      300    2.683    0.009    2.683    0.009 {method 'read' of '_ssl._SSLSocket' objects}
        1    2.442    2.442    2.444    2.444 {built-in method _socket.getaddrinfo}
        1    0.256    0.256    0.256    0.256 {method 'connect' of '_socket.socket' objects}
        1    0.178    0.178    0.178    0.178 {method 'do_handshake' of '_ssl._SSLSocket' objects}
     2709    0.106    0.000    0.561    0.000 parser.py:301(parse_starttag)
 4567/232    0.105    0.000    0.444    0.002 _parser.py:512(_parse)
 5107/194    0.104    0.000    0.257    0.001 _compiler.py:37(_compile)
    80996    0.101    0.000    0.101    0.000 {method 'append' of 'list' objects}
66188/59791    0.091    0.000    0.107    0.000 {built-in method builtins.len}
        2    0.073    0.036    0.937    0.469 parser.py:134(goahead)
    25220    0.069    0.000    0.069    0.000 {method 'match' of 're.Pattern' objects}
53638/53618    0.069    0.000    0.069    0.000 {built-in method builtins.isinstance}
    26163    0.066    0.000    0.100    0.000 _parser.py:168(__getitem__)
     2709    0.038    0.000    0.066    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
     2709    0.037    0.000    0.246    0.000 __init__.py:987(handle_starttag)
        1    0.037    0.037    0.037    0.037 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
 5062/383    0.037    0.000    0.061    0.000 _parser.py:178(getwidth)
    12831    0.033    0.000    0.051    0.000 _parser.py:261(get)
     2560    0.032    0.000    0.184    0.000 parser.py:379(parse_endtag)
 1127/194    0.031    0.000    0.448    0.002 _parser.py:452(_parse_sub)
     5664    0.030    0.000    0.139    0.000 __init__.py:826(endData)
    20495    0.030    0.000    0.030    0.000 {method 'get' of 'dict' objects}
    20512    0.029    0.000    0.029    0.000 _parser.py:240(__next)
     2709    0.029    0.000    0.296    0.000 _htmlparser.py:142(handle_starttag)
    10819    0.028    0.000    0.044    0.000 _markupbase.py:44(updatepos)
    11293    0.027    0.000    0.040    0.000 _parser.py:164(__len__)
     2710    0.025    0.000    0.107    0.000 element.py:1618(__init__)
    14535    0.025    0.000    0.025    0.000 {method 'group' of 're.Match' objects}
        1    0.021    0.021    0.384    0.384 dammit.py:128(_populate_class_variables)
      200    0.021    0.000    0.021    0.000 {built-in method marshal.loads}
    10573    0.021    0.000    0.030    0.000 _parser.py:256(match)
    14121    0.021    0.000    0.021    0.000 {method 'startswith' of 'str' objects}
    14281    0.020    0.000    0.020    0.000 {method 'lower' of 'str' objects}
     8143    0.020    0.000    0.020    0.000 {method 'search' of 're.Pattern' objects}
    14953    0.020    0.000    0.020    0.000 {method 'end' of 're.Match' objects}
      689    0.019    0.000    0.034    0.000 _compiler.py:243(_optimize_charset)
     2708    0.019    0.000    0.041    0.000 __init__.py:950(_popToTag)
     8110    0.019    0.000    0.019    0.000 element.py:376(setup)
    13547    0.019    0.000    0.019    0.000 {built-in method builtins.min}
     2700    0.019    0.000    0.041    0.000 __init__.py:867(object_was_parsed)
     2700    0.018    0.000    0.032    0.000 __init__.py:732(string_container)
     2700    0.018    0.000    0.033    0.000 element.py:1291(__new__)
     6855    0.017    0.000    0.026    0.000 _parser.py:176(append)
     8003    0.016    0.000    0.016    0.000 {method 'count' of 'str' objects}
4935/4934    0.016    0.000    0.043    0.000 {built-in method builtins.next}
     2710    0.015    0.000    0.023    0.000 __init__.py:809(pushTag)
     2499    0.014    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
6017/5984    0.014    0.000    0.079    0.000 typing.py:392(inner)
      120    0.013    0.000    0.038    0.000 _compiler.py:467(_get_charset_prefix)
     2709    0.013    0.000    0.030    0.000 parser.py:345(check_for_whole_start_tag)
    291/1    0.013    0.000    8.083    8.083 {built-in method builtins.exec}
  671/665    0.013    0.000    0.324    0.000 {built-in method builtins.__build_class__}
     6112    0.013    0.000    0.013    0.000 {method 'join' of 'str' objects}
     2708    0.013    0.000    0.120    0.000 __init__.py:1053(handle_endtag)
     1985    0.012    0.000    0.020    0.000 __init__.py:91(_replace_charref)
     9946    0.012    0.000    0.012    0.000 typing.py:2154(cast)
3541/3444    0.012    0.000    0.021    0.000 {built-in method __new__ of type object at 0xa43b40}
      255    0.012    0.000    0.012    0.000 {method 'decompress' of 'zlib.Decompress' objects}
     2710    0.012    0.000    0.132    0.000 _htmlparser.py:204(handle_endtag)
      459    0.012    0.000    0.051    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
     2709    0.011    0.000    0.015    0.000 __init__.py:786(popTag)
     2867    0.011    0.000    0.040    0.000 filter.py:717(match)
      472    0.011    0.000    0.019    0.000 css_types.py:41(__init__)
        9    0.010    0.001    0.063    0.007 filter.py:129(filter)
      257    0.010    0.000    2.786    0.011 http11.py:209(_receive_event)
     7588    0.010    0.000    0.010    0.000 {built-in method builtins.ord}
     6585    0.010    0.000    0.010    0.000 {method 'endswith' of 'str' objects}
     7241    0.010    0.000    0.010    0.000 {method 'rstrip' of 'str' objects}
     3522    0.010    0.000    0.014    0.000 _parser.py:293(tell)
     6007    0.009    0.000    0.036    0.000 __init__.py:122(unescape)
       19    0.008    0.000    0.025    0.001 enum.py:1708(convert_class)
     1487    0.008    0.000    0.015    0.000 filter.py:321(matches_tag)
     2609    0.008    0.000    0.018    0.000 _htmlparser.py:222(handle_data)
     5659    0.008    0.000    0.008    0.000 _parser.py:113(__init__)
     5545    0.008    0.000    0.008    0.000 {method 'start' of 're.Match' objects}
     1003    0.007    0.000    0.007    0.000 {built-in method posix.stat}
     4899    0.007    0.000    0.007    0.000 {built-in method builtins.getattr}
     4236    0.007    0.000    0.010    0.000 {built-in method builtins.max}
     2709    0.007    0.000    0.011    0.000 element.py:1812(is_empty_element)
     2732    0.007    0.000    0.011    0.000 __init__.py:1065(handle_data)
     2199    0.007    0.000    0.007    0.000 {method 'findall' of 're.Pattern' objects}
      735    0.007    0.000    0.027    0.000 {method 'sub' of 're.Pattern' objects}
     1957    0.007    0.000    0.012    0.000 typing.py:1134(_is_dunder)
      557    0.007    0.000    0.049    0.000 _connection.py:426(next_event)
     1500    0.006    0.000    0.024    0.000 filter.py:538(matches_tag)
      689    0.006    0.000    0.011    0.000 _compiler.py:216(_compile_charset)
     2481    0.006    0.000    0.011    0.000 css_parser.py:307(match)
      249    0.006    0.000    0.079    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     1734    0.006    0.000    0.016    0.000 typing.py:1188(__setattr__)
      498    0.006    0.000    0.018    0.000 typing.py:175(_type_check)
      300    0.006    0.000    2.706    0.009 sync.py:124(read)
     1408    0.006    0.000    0.008    0.000 __init__.py:906(_linkage_fixer)
      325    0.006    0.000    0.021    0.000 css_parser.py:1094(selector_iter)
      318    0.006    0.000    0.796    0.003 __init__.py:280(_compile)
      869    0.005    0.000    0.007    0.000 contextlib.py:104(__init__)
  537/536    0.005    0.000    0.011    0.000 _readers.py:157(__call__)
     4210    0.005    0.000    0.005    0.000 element.py:2219(__bool__)
     1008    0.005    0.000    0.011    0.000 _parser.py:312(_class_escape)
     3778    0.005    0.000    0.005    0.000 {method 'add' of 'set' objects}
      293    0.005    0.000    0.016    0.000 <frozen importlib._bootstrap>:304(acquire)
     1437    0.005    0.000    0.007    0.000 enum.py:1544(_get_value)
      557    0.005    0.000    0.024    0.000 _connection.py:398(_extract_next_receive_event)
      200    0.004    0.000    0.004    0.000 {built-in method _io.open_code}
      868    0.004    0.000    0.010    0.000 contextlib.py:141(__exit__)
     2840    0.004    0.000    0.004    0.000 {method 'find' of 'bytearray' objects}
      400    0.004    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
     3208    0.004    0.000    0.004    0.000 {method 'pop' of 'list' objects}
      270    0.004    0.000    0.034    0.000 typing.py:1242(__init__)
      869    0.004    0.000    0.011    0.000 contextlib.py:299(helper)
    255/7    0.004    0.000    1.334    0.191 <frozen importlib._bootstrap>:1349(_find_and_load)
     2813    0.004    0.000    0.004    0.000 {method 'strip' of 'str' objects}
       13    0.004    0.000    0.032    0.002 enum.py:919(_convert_)
     2873    0.004    0.000    0.004    0.000 element.py:2763(descendants)
     2710    0.004    0.000    0.004    0.000 __init__.py:290(can_be_empty_element)
     2710    0.004    0.000    0.005    0.000 __init__.py:636(set_up_substitutions)
      200    0.004    0.000    0.060    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
     3067    0.004    0.000    0.004    0.000 {built-in method builtins.chr}
     2709    0.004    0.000    0.004    0.000 _markupbase.py:36(getpos)
     2690    0.004    0.000    0.004    0.000 {method 'keys' of 'dict' objects}
     2376    0.004    0.000    0.006    0.000 {built-in method builtins.hasattr}
      869    0.004    0.000    0.008    0.000 contextlib.py:132(__enter__)
      293    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:372(release)
     1505    0.004    0.000    0.004    0.000 {built-in method _imp.acquire_lock}
      194    0.003    0.000    0.059    0.000 _compiler.py:511(_compile_info)
      767    0.003    0.000    0.006    0.000 _parser.py:372(_escape)
      224    0.003    0.000    0.018    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      200    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
      200    0.003    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
     2587    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     1021    0.003    0.000    0.008    0.000 _parser.py:172(__setitem__)
      260    0.003    0.000    0.013    0.000 _connection.py:260(_process_event)
     2560    0.003    0.000    0.003    0.000 parser.py:127(clear_cdata_mode)
      388    0.003    0.000    0.012    0.000 enum.py:1562(__and__)
    254/6    0.003    0.000    1.333    0.222 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
