('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         755328 function calls (731086 primitive calls) in 5.923 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      299    2.857    0.010    2.857    0.010 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.255    0.255    0.255    0.255 {method 'connect' of '_socket.socket' objects}
        1    0.231    0.231    0.231    0.231 {built-in method _socket.getaddrinfo}
        1    0.151    0.151    0.151    0.151 {method 'do_handshake' of '_ssl._SSLSocket' objects}
 4759/198    0.124    0.000    0.503    0.003 _parser.py:512(_parse)
 5521/190    0.113    0.000    0.288    0.002 _compiler.py:37(_compile)
     2709    0.108    0.000    0.574    0.000 parser.py:301(parse_starttag)
    86059    0.106    0.000    0.106    0.000 {method 'append' of 'list' objects}
68974/62657    0.091    0.000    0.106    0.000 {built-in method builtins.len}
        2    0.074    0.037    0.958    0.479 parser.py:134(goahead)
    29596    0.073    0.000    0.111    0.000 _parser.py:168(__getitem__)
    25098    0.069    0.000    0.069    0.000 {method 'match' of 're.Pattern' objects}
52067/52063    0.066    0.000    0.066    0.000 {built-in method builtins.isinstance}
    16688    0.042    0.000    0.065    0.000 _parser.py:261(get)
     2709    0.040    0.000    0.068    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
     2709    0.038    0.000    0.255    0.000 __init__.py:987(handle_starttag)
 5468/371    0.038    0.000    0.062    0.000 _parser.py:178(getwidth)
        1    0.037    0.037    0.037    0.037 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
    25504    0.035    0.000    0.035    0.000 _parser.py:240(__next)
     2560    0.033    0.000    0.188    0.000 parser.py:379(parse_endtag)
 1270/190    0.032    0.000    0.507    0.003 _parser.py:452(_parse_sub)
     5664    0.031    0.000    0.144    0.000 __init__.py:826(endData)
    12558    0.029    0.000    0.044    0.000 _parser.py:164(__len__)
     2709    0.029    0.000    0.305    0.000 _htmlparser.py:142(handle_starttag)
    19583    0.028    0.000    0.028    0.000 {method 'get' of 'dict' objects}
    10819    0.028    0.000    0.044    0.000 _markupbase.py:44(updatepos)
     2710    0.026    0.000    0.111    0.000 element.py:1618(__init__)
    13227    0.025    0.000    0.036    0.000 _parser.py:256(match)
    14261    0.025    0.000    0.025    0.000 {method 'group' of 're.Match' objects}
      901    0.023    0.000    0.042    0.000 _compiler.py:243(_optimize_charset)
        1    0.023    0.023    0.375    0.375 dammit.py:128(_populate_class_variables)
     8110    0.022    0.000    0.022    0.000 element.py:376(setup)
    14567    0.021    0.000    0.021    0.000 {method 'lower' of 'str' objects}
     8133    0.021    0.000    0.021    0.000 {method 'search' of 're.Pattern' objects}
    14953    0.020    0.000    0.020    0.000 {method 'end' of 're.Match' objects}
     2700    0.020    0.000    0.043    0.000 __init__.py:867(object_was_parsed)
    13517    0.020    0.000    0.020    0.000 {method 'startswith' of 'str' objects}
     2708    0.020    0.000    0.043    0.000 __init__.py:950(_popToTag)
    14505    0.019    0.000    0.019    0.000 {built-in method builtins.min}
     7465    0.018    0.000    0.028    0.000 _parser.py:176(append)
      165    0.018    0.000    0.018    0.000 {built-in method marshal.loads}
     2700    0.018    0.000    0.035    0.000 element.py:1291(__new__)
     2700    0.017    0.000    0.031    0.000 __init__.py:732(string_container)
     8005    0.016    0.000    0.016    0.000 {method 'count' of 'str' objects}
     2710    0.016    0.000    0.023    0.000 __init__.py:809(pushTag)
